Daystamp,Sirloin steak per kg.,Year,Month
1997-01-01,8.053,1997,1
1997-02-01,8.276,1997,2
1997-03-01,8.124,1997,3
1997-04-01,8.503,1997,4
1997-05-01,8.397,1997,5
1997-06-01,8.442,1997,6
1997-07-01,8.484,1997,7
1997-08-01,8.432,1997,8
1997-09-01,8.146,1997,9
1997-10-01,8.409,1997,10
1997-11-01,8.073,1997,11
1997-12-01,8.447,1997,12
1998-01-01,8.249,1998,1
1998-02-01,7.994,1998,2
1998-03-01,8.113,1998,3
1998-04-01,8.462,1998,4
1998-05-01,8.561,1998,5
1998-06-01,8.651,1998,6
1998-07-01,8.7,1998,7
1998-08-01,8.515,1998,8
1998-09-01,8.309,1998,9
1998-10-01,8.264,1998,10
1998-11-01,8.061,1998,11
1998-12-01,8.16,1998,12
1999-01-01,8.206,1999,1
1999-02-01,8.295,1999,2
1999-03-01,8.204,1999,3
1999-04-01,8.393,1999,4
1999-05-01,8.494,1999,5
1999-06-01,8.566,1999,6
1999-07-01,8.594,1999,7
1999-08-01,8.597,1999,8
1999-09-01,8.6,1999,9
1999-10-01,8.571,1999,10
1999-11-01,8.547,1999,11
1999-12-01,8.503,1999,12
2000-01-01,8.81,2000,1
2000-02-01,8.732,2000,2
2000-03-01,8.843,2000,3
2000-04-01,9.069,2000,4
2000-05-01,8.773,2000,5
2000-06-01,9.303,2000,6
2000-07-01,9.577,2000,7
2000-08-01,9.386,2000,8
2000-09-01,9.256,2000,9
2000-10-01,9.549,2000,10
2000-11-01,9.465,2000,11
2000-12-01,9.347,2000,12
2001-01-01,9.544,2001,1
2001-02-01,9.573,2001,2
2001-03-01,9.549,2001,3
2001-04-01,9.598,2001,4
2001-05-01,9.65,2001,5
2001-06-01,9.717,2001,6
2001-07-01,9.928,2001,7
2001-08-01,9.869,2001,8
2001-09-01,9.865,2001,9
2001-10-01,10.084,2001,10
2001-11-01,9.789,2001,11
2001-12-01,12.095,2001,12
2002-01-01,12.354,2002,1
2002-02-01,12.404,2002,2
2002-03-01,12.524,2002,3
2002-04-01,12.558,2002,4
2002-05-01,12.87,2002,5
2002-06-01,12.871,2002,6
2002-07-01,12.807,2002,7
2002-08-01,12.816,2002,8
2002-09-01,12.764,2002,9
2002-10-01,12.02,2002,10
2002-11-01,12.567,2002,11
2002-12-01,11.986,2002,12
2003-01-01,12.465,2003,1
2003-02-01,12.603,2003,2
2003-03-01,12.743,2003,3
2003-04-01,12.916,2003,4
2003-05-01,12.838,2003,5
2003-06-01,12.981,2003,6
2003-07-01,12.293,2003,7
2003-08-01,12.4,2003,8
2003-09-01,13.018,2003,9
2003-10-01,12.983,2003,10
2003-11-01,12.6,2003,11
2003-12-01,12.561,2003,12
2004-01-01,13.078,2004,1
2004-02-01,13.241,2004,2
2004-03-01,13.109,2004,3
2004-04-01,13.33,2004,4
2004-05-01,13.196,2004,5
2004-06-01,13.44,2004,6
2004-07-01,13.27,2004,7
2004-08-01,12.995,2004,8
2004-09-01,12.642,2004,9
2004-10-01,12.106,2004,10
2004-11-01,12.402,2004,11
2004-12-01,11.798,2004,12
2005-01-01,12.5,2005,1
2005-02-01,12.793,2005,2
2005-03-01,12.666,2005,3
2005-04-01,11.837,2005,4
2005-05-01,11.048,2005,5
2005-06-01,11.964,2005,6
2005-07-01,11.989,2005,7
2005-08-01,11.698,2005,8
2005-09-01,10.94,2005,9
2005-10-01,11.653,2005,10
2005-11-01,11.81,2005,11
2005-12-01,11.254,2005,12
2006-01-01,12.125,2006,1
2006-02-01,12.192,2006,2
2006-03-01,12.112,2006,3
2006-04-01,12.333,2006,4
2006-05-01,12.588,2006,5
2006-06-01,12.364,2006,6
2006-07-01,13.987,2006,7
2006-08-01,13.861,2006,8
2006-09-01,13.497,2006,9
2006-10-01,13.714,2006,10
2006-11-01,13.492,2006,11
2006-12-01,13.39,2006,12
2007-01-01,13.86,2007,1
2007-02-01,14.715,2007,2
2007-03-01,14.552,2007,3
2007-04-01,13.686,2007,4
2007-05-01,14.813,2007,5
2007-06-01,14.503,2007,6
2007-07-01,14.678,2007,7
2007-08-01,13.39,2007,8
2007-09-01,14.908,2007,9
2007-10-01,14.677,2007,10
2007-11-01,14.118,2007,11
2007-12-01,13.47,2007,12
2008-01-01,14.38,2008,1
2008-02-01,15.118,2008,2
2008-03-01,13.992,2008,3
2008-04-01,15.6,2008,4
2008-05-01,15.646,2008,5
2008-06-01,15.125,2008,6
2008-07-01,15.919,2008,7
2008-08-01,15.901,2008,8
2008-09-01,14.767,2008,9
2008-10-01,15.476,2008,10
2008-11-01,15.528,2008,11
2008-12-01,15.669,2008,12
2009-01-01,15.841,2009,1
2009-02-01,14.515,2009,2
2009-03-01,15.615,2009,3
2009-04-01,13.381,2009,4
2009-05-01,14.965,2009,5
2009-06-01,14.595,2009,6
2009-07-01,14.642,2009,7
2009-08-01,14.472,2009,8
2009-09-01,13.094,2009,9
2009-10-01,14.305,2009,10
2009-11-01,14.14,2009,11
2009-12-01,13.729,2009,12
2010-01-01,13.42,2010,1
2010-02-01,13.86,2010,2
2010-03-01,13.714,2010,3
2010-04-01,13.092,2010,4
2010-05-01,13.985,2010,5
2010-06-01,13.888,2010,6
2010-07-01,14.239,2010,7
2010-08-01,14.039,2010,8
2010-09-01,12.663,2010,9
2010-10-01,12.76,2010,10
2010-11-01,13.975,2010,11
2010-12-01,13.807,2010,12
2011-01-01,13.362,2011,1
2011-02-01,13.651,2011,2
2011-03-01,13.392,2011,3
2011-04-01,13.444,2011,4
2011-05-01,13.876,2011,5
2011-06-01,13.94,2011,6
2011-07-01,14.804,2011,7
2011-08-01,14.449,2011,8
2011-09-01,14.429,2011,9
2011-10-01,14.577,2011,10
2011-11-01,15.156,2011,11
2011-12-01,15.007,2011,12
2012-01-01,15.093,2012,1
2012-02-01,15.112,2012,2
2012-03-01,14.936,2012,3
2012-04-01,15.338,2012,4
2012-05-01,15.257,2012,5
2012-06-01,15.611,2012,6
2012-07-01,15.764,2012,7
2012-08-01,15.515,2012,8
2012-09-01,16.105,2012,9
2012-10-01,15.917,2012,10
2012-11-01,15.477,2012,11
2012-12-01,15.818,2012,12
2013-01-01,16.197,2013,1
2013-02-01,16.032,2013,2
2013-03-01,15.47,2013,3
2013-04-01,16.138,2013,4
2013-05-01,15.89,2013,5
2013-06-01,16.982,2013,6
2013-07-01,16.748,2013,7
2013-08-01,16.722,2013,8
2013-09-01,16.69,2013,9
2013-10-01,16.634,2013,10
2013-11-01,16.447,2013,11
2013-12-01,16.221,2013,12
2014-01-01,16.287,2014,1
2014-02-01,15.106,2014,2
2014-03-01,16.215,2014,3
2014-04-01,15.197,2014,4
2014-05-01,16.573,2014,5
2014-06-01,16.568,2014,6
2014-07-01,16.771,2014,7
2014-08-01,16.299,2014,8
2014-09-01,16.248,2014,9
2014-10-01,16.254,2014,10
2014-11-01,16.412,2014,11
2014-12-01,16.369,2014,12
2015-01-01,16.548,2015,1
2015-02-01,15.101,2015,2
2015-03-01,15.53,2015,3
2015-04-01,15.904,2015,4
2015-05-01,16.283,2015,5
2015-06-01,16.08,2015,6
2015-07-01,15.824,2015,7
2015-08-01,15.115,2015,8
2015-09-01,16.192,2015,9
2015-10-01,15.913,2015,10
2015-11-01,16.019,2015,11
2015-12-01,16.327,2015,12
2016-01-01,16.277,2016,1
2016-02-01,15.934,2016,2
2016-03-01,15.248,2016,3
2016-04-01,15.8,2016,4
2016-05-01,16.249,2016,5
2016-06-01,16.065,2016,6
2016-07-01,15.029,2016,7
2016-08-01,15.456,2016,8
2016-09-01,15.789,2016,9
2016-10-01,15.893,2016,10
2016-11-01,16.12,2016,11
2016-12-01,15.086,2016,12
2017-01-01,16.725,2017,1
2017-02-01,14.956,2017,2
2017-03-01,16.023,2017,3
2017-04-01,15.526,2017,4
2017-05-01,16.329,2017,5
2017-06-01,15.293,2017,6
2017-07-01,14.613,2017,7
2017-08-01,15.298,2017,8
2017-09-01,16.369,2017,9
2017-10-01,15.565,2017,10
2017-11-01,16.018,2017,11
2017-12-01,15.117,2017,12
2018-01-01,16.127,2018,1
2018-02-01,15.971,2018,2
2018-03-01,14.32,2018,3
2018-04-01,14.97,2018,4
2018-05-01,15.0,2018,5
2018-06-01,14.455,2018,6
2018-07-01,13.885,2018,7
2018-08-01,15.253,2018,8
2018-09-01,15.693,2018,9
2018-10-01,14.444,2018,10
2018-11-01,15.337,2018,11
2018-12-01,14.766,2018,12
2019-01-01,15.516,2019,1
2019-02-01,14.223,2019,2
2019-03-01,14.928,2019,3
2019-04-01,15.001,2019,4
2019-05-01,15.603,2019,5
2019-06-01,14.183,2019,6
2019-07-01,14.276,2019,7
2019-08-01,15.357,2019,8
2019-09-01,15.809,2019,9
2019-10-01,15.668,2019,10
2019-11-01,15.73,2019,11
2019-12-01,15.677,2019,12
